x,y,T,u,v,p
4.35,0.55,309.893,0.084723,0.107372,0.528148
4.35,0.6,307.401,0.111277,0.151744,0.524204
4.35,0.65,305.494,0.143452,0.206307,0.516297
4.35,0.7,304.043,0.182659,0.271935,0.502328
4.35,0.75,302.943,0.231026,0.349222,0.479406
4.35,0.8,302.11,0.291854,0.438013,0.443694
4.35,0.85,301.483,0.370073,0.536504,0.390578
4.35,0.9,301.013,0.473107,0.638742,0.315654
4.35,0.95,300.667,0.605862,0.734256,0.217828
4.35,1,300.418,0.765855,0.802267,0.100538
4.4,0,383.69,-0.00134482,-0.00042729,0.52461
4.4,0.05,383.384,-0.00209599,-0.00115757,0.524519
4.4,0.1,382.03,-0.00300511,-0.00292859,0.524517
4.4,0.15,379.04,-0.00279294,-0.00480644,0.524855
4.4,0.2,374.268,-0.0015566,-0.0058711,0.5255
4.4,0.25,367.792,0.000695632,-0.00533093,0.526427
4.4,0.3,360.048,0.00405805,-0.00238085,0.527597
4.4,0.35,351.774,0.00870304,0.00386806,0.528926
4.4,0.4,343.745,0.0148644,0.0144064,0.530247
4.4,0.45,336.487,0.0228518,0.0303294,0.531274
4.4,0.5,330.143,0.0330425,0.0528511,0.531552
4.4,0.55,324.708,0.0459016,0.0833265,0.530365
4.4,0.6,320.11,0.0620655,0.123269,0.526626
4.4,0.65,316.245,0.0824525,0.174387,0.518713
4.4,0.7,313.008,0.108464,0.238636,0.504226
4.4,0.75,310.298,0.14235,0.318299,0.479589
4.4,0.8,308.026,0.187922,0.415869,0.439431
4.4,0.85,306.119,0.251935,0.533499,0.375835
4.4,0.9,304.516,0.347224,0.668338,0.278376
4.4,0.95,303.202,0.494967,0.814208,0.140789
4.4,1,302.143,0.726541,0.924676,-0.0344357
4.45,0,417.901,-0.000459687,-0.00025678,0.524625
4.45,0.05,417.484,-0.000792342,-0.000772112,0.524539
4.45,0.1,415.991,-0.00123563,-0.00210813,0.524553
4.45,0.15,413.06,-0.00126055,-0.00369803,0.524948
4.45,0.2,408.557,-0.000916175,-0.00492088,0.525728
4.45,0.25,402.458,-0.000219434,-0.00526552,0.526879
4.45,0.3,394.941,0.000871608,-0.00421152,0.528365
4.45,0.35,386.426,0.0024409,-0.001164,0.5301
4.45,0.4,377.529,0.00459517,0.00459342,0.531929
4.45,0.45,368.905,0.00749945,0.0139148,0.533564
4.45,0.5,360.885,0.0113672,0.0278085,0.53454
4.45,0.55,353.533,0.0164602,0.0475062,0.53414
4.45,0.6,346.841,0.0231603,0.0745316,0.531247
4.45,0.65,340.762,0.0320447,0.110803,0.524152
4.45,0.7,335.227,0.0440341,0.158849,0.510238
4.45,0.75,330.162,0.0606797,0.222213,0.485388
4.45,0.8,325.486,0.0847767,0.306172,0.442784
4.45,0.85,321.105,0.121868,0.418174,0.370262
4.45,0.9,316.888,0.187073,0.574454,0.246486
4.45,0.95,312.943,0.275454,0.752886,0.0246933
4.45,1,308.973,0.585003,0.967455,-0.294325
4.5,0,449.941,-6.59E-05,-6.31E-05,0.524543
4.5,0.05,461.972,0,0,0.524457
4.5,0.1,460.414,0,0,0.524475
4.5,0.15,457.518,0,0,0.524899
4.5,0.2,453.16,0,0,0.525756
4.5,0.25,447.32,0,0,0.527047
4.5,0.3,440.06,0,0,0.528731
4.5,0.35,431.701,0,0,0.530728
4.5,0.4,422.715,0,0,0.532897
4.5,0.45,413.717,0,0,0.534954
4.5,0.5,405.151,0,0,0.536431
4.5,0.55,397.083,0,0,0.536624
4.5,0.6,389.518,0,0,0.53441
4.5,0.65,382.422,0,0,0.528064
4.5,0.7,375.737,0,0,0.5149
4.5,0.75,369.399,0,0,0.490614
4.5,0.8,363.326,0,0,0.447825
4.5,0.85,357.403,0,0,0.372312
4.5,0.9,351.427,0,0,0.236354
4.5,0.95,345.602,0,0,-0.043023
4.5,1,340.435,0,0,-0.765808
4.55,1,340.87,0,0,-1.24384
4.6,1,350.769,0,0,-1.12507
4.65,1,369.408,0,0,-1.0135
4.7,1,388.708,0,0,-0.93018
4.75,1,400.953,0,0,-0.862944
4.8,1,408.758,0,0,-0.809548
4.85,1,415.085,0,0,-0.766442
4.9,1,420.945,0,0,-0.730446
4.95,1,426.353,0,0,-0.69953
5,1,431.168,0,0,-0.672427
5.05,1,435.313,0,0,-0.648304
5.1,1,438.779,0,0,-0.62658
5.15,1,441.586,0,0,-0.606839
5.2,1,443.749,0,0,-0.588769
5.25,1,445.237,0,0,-0.572141
5.3,1,445.953,0,0,-0.55679
5.35,1,445.62,0,0,-0.542619
5.4,1,443.425,0,0,-0.529633
5.45,1,436.984,0,0,-0.518842
5.5,0,446.038,-0.000089,8.85E-05,-0.467156
5.5,0.05,458.09,0,0,-0.467369
5.5,0.1,456.581,0,0,-0.467827
5.5,0.15,453.889,0,0,-0.468272
5.5,0.2,450.287,0,0,-0.468584
5.5,0.25,446.305,0,0,-0.4687
5.5,0.3,442.456,0,0,-0.4686
5.5,0.35,439.057,0,0,-0.468287
5.5,0.4,436.215,0,0,-0.467779
5.5,0.45,433.863,0,0,-0.467117
5.5,0.5,431.798,0,0,-0.466357
5.5,0.55,429.903,0,0,-0.465586
5.5,0.6,428.233,0,0,-0.464918
5.5,0.65,426.824,0,0,-0.464502
5.5,0.7,425.652,0,0,-0.464518
5.5,0.75,424.68,0,0,-0.465182
5.5,0.8,423.914,0,0,-0.466745
5.5,0.85,423.368,0,0,-0.469514
5.5,0.9,422.888,0,0,-0.47399
5.5,0.95,421.565,0,0,-0.481183
5.5,1,426.38,0,0,-0.499932
5.55,0,414.449,-0.000124395,5.05E-05,-0.466945
5.55,0.05,414.087,0.000250018,-0.000261293,-0.46716
5.55,0.1,412.752,0.00100082,-0.00151109,-0.467592
5.55,0.15,410.172,0.00161945,-0.00380778,-0.467983
5.55,0.2,406.568,0.00196308,-0.00674106,-0.468257
5.55,0.25,402.502,0.00204527,-0.00992134,-0.468368
5.55,0.3,398.526,0.00190658,-0.0130002,-0.468297
5.55,0.35,394.973,0.00158134,-0.0156734,-0.468044
5.55,0.4,391.947,0.00109194,-0.0176787,-0.467626
5.55,0.45,389.378,0.000453032,-0.0187881,-0.467074
5.55,0.5,387.062,-0.000322022,-0.0188034,-0.466441
5.55,0.55,384.912,-0.00121605,-0.0175598,-0.465807
5.55,0.6,383.009,-0.00220543,-0.0149328,-0.465283
5.55,0.65,381.388,-0.003259,-0.0108495,-0.465009
5.55,0.7,380.034,-0.00433743,-0.00530335,-0.465156
5.55,0.75,378.94,-0.00539361,0.00163433,-0.465922
5.55,0.8,378.178,-0.00636961,0.00978533,-0.46753
5.55,0.85,377.874,-0.00717129,0.0188226,-0.470225
5.55,0.9,378.07,-0.00755621,0.0280815,-0.474348
5.55,0.95,378.368,-0.00651704,0.0355721,-0.480487
5.55,1,376.289,0.000265843,0.0380303,-0.488294
5.6,0,381.565,0.000419195,-0.000233907,-0.466481
5.6,0.05,381.438,0.00151865,-0.00107342,-0.466733
5.6,0.1,380.546,0.0036091,-0.00375286,-0.467178
5.6,0.15,378.238,0.0052302,-0.00804544,-0.467513
5.6,0.2,374.645,0.0061042,-0.0132374,-0.467744
5.6,0.25,370.405,0.00624398,-0.0187135,-0.46786
5.6,0.3,366.15,0.0057358,-0.0239182,-0.467845
5.6,0.35,362.251,0.00466875,-0.0283541,-0.467698
5.6,0.4,358.825,0.00311635,-0.0315934,-0.467425
5.6,0.45,355.819,0.00114084,-0.0332783,-0.467047
5.6,0.5,353.085,-0.00119482,-0.0331204,-0.466608
5.6,0.55,350.599,-0.00381706,-0.0309063,-0.466179
5.6,0.6,348.443,-0.0066349,-0.0265074,-0.465857
5.6,0.65,346.625,-0.00953389,-0.0198951,-0.465772
5.6,0.7,345.144,-0.0123672,-0.0111646,-0.466078
5.6,0.75,344.03,-0.0149372,-0.000566082,-0.466946
5.6,0.8,343.446,-0.0169635,0.0114275,-0.468551
5.6,0.85,343.681,-0.0179792,0.0240005,-0.471037
5.6,0.9,345.087,-0.0170544,0.0357397,-0.474504
5.6,0.95,348.025,-0.011847,0.043974,-0.478965
5.6,1,352.163,0.00444963,0.0449753,-0.483815
5.65,0,358.144,0.00175446,-0.00051022,-0.466029
5.65,0.05,358.285,0.00396661,-0.00183194,-0.466354
