x,y,z,T,u,v,w,p
0,2.05,0,300,1,0,0,0.357682
0,2.15,0,300,1,0,0,0.353274
0,2.25,0,300,1,0,0,0.349151
0,2.35,0,300,1,0,0,0.345312
0,2.45,0,300,1,0,0,0.341763
0,2.55,0,300,1,0,0,0.338509
0,2.65,0,300,1,0,0,0.335559
0,2.75,0,300,1,0,0,0.332925
0,2.85,0,300,1,0,0,0.33062
0,2.95,0,300,1,0,0,0.328665
0,3.05,0,300,1,0,0,0.327078
0,3.15,0,300,1,0,0,0.325886
0,3.25,0,300,1,0,0,0.32512
0,3.35,0,300,1,0,0,0.324817
0,3.45,0,300,1,0,0,0.325024
0,3.55,0,300,1,0,0,0.3258
0,3.65,0,300,1,0,0,0.327217
0,3.75,0,300,1,0,0,0.32937
0,3.85,0,300,1,0,0,0.332383
0,3.95,0,300,1,0,0,0.336422
0,4.05,0,300,1,0,0,0.341716
0,4.15,0,300,1,0,0,0.348591
0,4.25,0,300,1,0,0,0.357526
0,4.35,0,300,1,0,0,0.369259
0,4.45,0,300,1,0,0,0.384997
0,4.55,0,300,1,0,0,0.406867
0,4.65,0,300,1,0,0,0.439034
0,4.75,0,300,1,0,0,0.491026
0,4.85,0,300,1,0,0,0.589758
0,4.95,0,300,1,0,0,0.871926
0,1.05,1,300,1,0,0,0.421548
0,1.15,1,300,1,0,0,0.412793
0,1.25,1,300,1,0,0,0.404815
0,1.35,1,300,1,0,0,0.397468
0,1.45,1,300,1,0,0,0.390646
0,1.55,1,300,1,0,0,0.384271
0,1.65,1,300,1,0,0,0.378292
0,1.75,1,300,1,0,0,0.372667
0,1.85,1,300,1,0,0,0.367369
0,1.95,1,300,1,0,0,0.362378
0,2.05,1,300,1,0,0,0.357682
0,2.15,1,300,1,0,0,0.353274
0,2.25,1,300,1,0,0,0.349151
0,2.35,1,300,1,0,0,0.345312
0,2.45,1,300,1,0,0,0.341763
0,2.55,1,300,1,0,0,0.338509
0,2.65,1,300,1,0,0,0.335559
0,2.75,1,300,1,0,0,0.332925
0,2.85,1,300,1,0,0,0.33062
0,2.95,1,300,1,0,0,0.328665
0,3.05,1,300,1,0,0,0.327078
0,3.15,1,300,1,0,0,0.325886
0,3.25,1,300,1,0,0,0.32512
0,3.35,1,300,1,0,0,0.324817
0,3.45,1,300,1,0,0,0.325024
0,3.55,1,300,1,0,0,0.3258
0,3.65,1,300,1,0,0,0.327217
